Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
85037,Phoenix,AZ,33.493006,-112.25539,-7,0,33.493006
86510,Pinon,AZ,36.110934,-110.20181,-7,0,36.110934
86029,Sun Valley,AZ,35.285746,-110.288704,-7,0,35.285746
86313,Prescott,AZ,34.706724,-112.39773,-7,0,34.706724
85636,Sierra Vista,AZ,31.668685,-110.280111,-7,0,31.668685
97410,Azalea,OR,42.790958,-123.14894,-8,1,42.790958
86436,Topock,AZ,34.782526,-114.4663,-7,0,34.782526
85332,Congress,AZ,34.177939,-112.9307,-7,0,34.177939
85728,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85632,San Simon,AZ,32.048448,-109.19635,-7,0,32.048448
85369,Yuma,AZ,32.751632,-114.074901,-7,0,32.751632
85611,Elgin,AZ,31.588594,-110.51857,-7,0,31.588594
85030,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85321,Ajo,AZ,32.331853,-112.78694,-7,0,32.331853
86046,Williams,AZ,35.378832,-112.23657,-7,0,35.378832
86427,Fort Mohave,AZ,35.00429,-114.581228,-7,0,35.00429
86422,Bullhead City,AZ,35.109303,-114.574004,-7,0,35.109303
85922,Blue,AZ,33.681485,-109.24946,-7,0,33.681485
85939,Taylor,AZ,34.442667,-110.09181,-7,0,34.442667
85501,Globe,AZ,33.53457,-110.75681,-7,0,33.53457
85613,Fort Huachuca,AZ,31.541437,-110.30004,-7,0,31.541437
85707,Tucson,AZ,32.169577,-110.875093,-7,0,32.169577
85541,Payson,AZ,34.243578,-111.28137,-7,0,34.243578
85299,Gilbert,AZ,33.276539,-112.18717,-7,0,33.276539
85724,Tucson,AZ,32.240571,-110.944343,-7,0,32.240571
85260,Scottsdale,AZ,33.606004,-111.88699,-7,0,33.606004
85281,Tempe,AZ,33.426885,-111.92733,-7,0,33.426885
85548,Safford,AZ,32.797009,-109.752196,-7,0,32.797009
85027,Phoenix,AZ,33.698731,-112.11429,-7,0,33.698731
85311,Glendale,AZ,33.276539,-112.18717,-7,0,33.276539
86017,Munds Park,AZ,34.9372,-111.62931,-7,0,34.9372
86312,Prescott Valley,AZ,34.668291,-112.307777,-7,0,34.668291
86301,Prescott,AZ,34.589477,-112.44726,-7,0,34.589477
85553,Tonto Basin,AZ,33.830708,-111.30102,-7,0,33.830708
86549,Sawmill,AZ,35.958014,-109.17551,-7,0,35.958014
85941,Whiteriver,AZ,33.849439,-110.03334,-7,0,33.849439
86446,Mohave Valley,AZ,34.849946,-114.591728,-7,0,34.849946
89024,Mesquite,AZ,36.789432,-114.01042,-7,0,36.789432
85338,Goodyear,AZ,33.430922,-112.38482,-7,0,33.430922
86332,Kirkland,AZ,34.426513,-112.6261,-7,0,34.426513
85200,Mesa,AZ,33.423596,-111.594435,-7,0,33.423596
85662,Nogales,AZ,31.531998,-110.909305,-7,0,31.531998
85044,Phoenix,AZ,33.333591,-111.99246,-7,0,33.333591
85322,Arlington,AZ,33.274422,-112.78934,-7,0,33.274422
86340,Sedona,AZ,34.706724,-112.39773,-7,0,34.706724
86020,Cameron,AZ,36.182818,-111.5472,-7,0,36.182818
86401,Kingman,AZ,35.25925,-113.95225,-7,0,35.25925
86039,Kykotsmovi Village,AZ,36.00059,-110.5201,-7,0,36.00059
86043,Second Mesa,AZ,35.777227,-110.50131,-7,0,35.777227
85208,Mesa,AZ,33.393967,-111.64302,-7,0,33.393967
85210,Mesa,AZ,33.391233,-111.84129,-7,0,33.391233
85752,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85620,Naco,AZ,31.385182,-109.919794,-7,0,31.385182
86430,Bullhead City,AZ,35.256802,-114.49451,-7,0,35.256802
85653,Marana,AZ,32.454488,-111.26232,-7,0,32.454488
85366,Yuma,AZ,32.609959,-114.631172,-7,0,32.609959
85655,Douglas,AZ,31.880077,-109.754263,-7,0,31.880077
85731,Tucson,AZ,32.088034,-110.708174,-7,0,32.088034
85936,Saint Johns,AZ,34.558663,-109.40254,-7,0,34.558663
85711,Tucson,AZ,32.216326,-110.88511,-7,0,32.216326
85609,Dragoon,AZ,32.036365,-110.04581,-7,0,32.036365
86440,Mohave Valley,AZ,34.888406,-114.57354,-7,0,34.888406
85097,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85381,Peoria,AZ,33.60864,-112.22791,-7,0,33.60864
86323,Chino Valley,AZ,34.765452,-112.45931,-7,0,34.765452
85054,Phoenix,AZ,33.689558,-111.96463,-7,0,33.689558
86434,Peach Springs,AZ,35.482227,-113.5121,-7,0,35.482227
85284,Tempe,AZ,33.338333,-111.92962,-7,0,33.338333
85531,Central,AZ,32.872122,-109.79267,-7,0,32.872122
85016,Phoenix,AZ,33.503742,-112.03235,-7,0,33.503742
85055,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
86439,Bullhead City,AZ,35.095848,-114.619445,-7,0,35.095848
86502,Chambers,AZ,35.213287,-109.54223,-7,0,35.213287
85646,Tubac,AZ,31.623432,-111.06352,-7,0,31.623432
85024,Phoenix,AZ,33.675564,-112.04717,-7,0,33.675564
85546,Safford,AZ,32.800222,-109.69052,-7,0,32.800222
85935,Pinetop,AZ,34.121008,-109.91503,-7,0,34.121008
87328,Navajo,AZ,35.923348,-109.08296,-7,0,35.923348
85351,Sun City,AZ,33.60642,-112.28316,-7,0,33.60642
85005,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85372,Sun City,AZ,33.276539,-112.18717,-7,0,33.276539
85217,Apache Junction,AZ,33.393398,-111.478975,-7,0,33.393398
86538,Many Farms,AZ,36.374317,-109.6007,-7,0,36.374317
86506,Houck,AZ,35.368902,-109.22194,-7,0,35.368902
85328,Cibola,AZ,33.326956,-114.68562,-7,0,33.326956
85751,Tucson,AZ,32.161972,-110.714678,-7,0,32.161972
86004,Flagstaff,AZ,35.253002,-111.44851,-7,0,35.253002
86324,Clarkdale,AZ,34.767841,-112.06438,-7,0,34.767841
85087,New River,AZ,33.921493,-112.09992,-7,0,33.921493
86505,Ganado,AZ,35.665344,-109.65344,-7,0,35.665344
87410,Aztec,NM,36.837421,-107.96667,-7,1,36.837421
85934,Pinedale,AZ,34.270743,-110.26032,-7,0,34.270743
85241,Picacho,AZ,32.712136,-111.49949,-7,0,32.712136
85022,Phoenix,AZ,33.630497,-112.0521,-7,0,33.630497
85940,Vernon,AZ,34.268984,-109.67514,-7,0,34.268984
85046,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
86303,Prescott,AZ,34.515939,-112.45399,-7,0,34.515939
85718,Tucson,AZ,32.31346,-110.92282,-7,0,32.31346
85533,Clifton,AZ,33.122043,-109.2841,-7,0,33.122043
85926,Fort Apache,AZ,34.074253,-109.86356,-7,0,34.074253
85639,Topawa,AZ,31.773676,-111.76494,-7,0,31.773676
85312,Glendale,AZ,33.276539,-112.18717,-7,0,33.276539
85706,Tucson,AZ,32.128649,-110.92497,-7,0,32.128649
85353,Tolleson,AZ,33.426423,-112.28299,-7,0,33.426423
85739,Tucson,AZ,32.521096,-110.9087,-7,0,32.521096
85202,Mesa,AZ,33.381097,-111.8756,-7,0,33.381097
85235,Hayden,AZ,32.995762,-110.7804,-7,0,32.995762
85303,Glendale,AZ,33.528166,-112.22189,-7,0,33.528166
85354,Tonopah,AZ,33.452432,-113.01652,-7,0,33.452432
85634,Sells,AZ,31.998543,-111.93712,-7,0,31.998543
85380,Peoria,AZ,33.276539,-112.18717,-7,0,33.276539
85654,Rillito,AZ,32.417221,-111.17135,-7,0,32.417221
85365,Yuma,AZ,32.700018,-114.52671,-7,0,32.700018
85671,Sierra Vista,AZ,31.880077,-109.754263,-7,0,31.880077
86035,Leupp,AZ,35.335107,-110.99972,-7,0,35.335107
86426,Fort Mohave,AZ,35.013495,-114.58524,-7,0,35.013495
86406,Lake Havasu City,AZ,34.469945,-114.27861,-7,0,34.469945
85330,Wickenburg,AZ,33.973301,-112.722998,-7,0,33.973301
85928,Heber,AZ,34.563994,-110.55929,-7,0,34.563994
85283,Tempe,AZ,33.365951,-111.93155,-7,0,33.365951
85064,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85643,Willcox,AZ,32.356537,-109.88461,-7,0,32.356537
85733,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85362,Yarnell,AZ,34.286193,-112.69667,-7,0,34.286193
85534,Duncan,AZ,32.731748,-109.11471,-7,0,32.731748
85702,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85009,Phoenix,AZ,33.45635,-112.12378,-7,0,33.45635
85078,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85219,Apache Junction,AZ,33.402969,-111.46337,-7,0,33.402969
85242,Queen Creek,AZ,33.227266,-111.61087,-7,0,33.227266
86231,Bagdad,AZ,34.581245,-113.16874,-7,0,34.581245
85291,Valley Farms,AZ,33.013502,-111.42979,-7,0,33.013502
85002,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85216,Mesa,AZ,33.276539,-112.18717,-7,0,33.276539
85356,Wellton,AZ,32.676125,-114.13546,-7,0,32.676125
85252,Scottsdale,AZ,33.499529,-111.868432,-7,0,33.499529
85902,Show Low,AZ,34.298092,-110.035185,-7,0,34.298092
86011,Flagstaff,AZ,35.630842,-112.052427,-7,0,35.630842
86334,Paulden,AZ,34.910591,-112.46252,-7,0,34.910591
86033,Kayenta,AZ,36.608485,-110.18425,-7,0,36.608485
85245,Red Rock,AZ,32.623115,-111.37672,-7,0,32.623115
85625,Pearce,AZ,31.911838,-109.7723,-7,0,31.911838
86344,Paulden,AZ,34.907296,-112.492365,-7,0,34.907296
85282,Tempe,AZ,33.394067,-111.92873,-7,0,33.394067
85043,Phoenix,AZ,33.435405,-112.20009,-7,0,33.435405
85623,Oracle,AZ,32.625543,-110.77201,-7,0,32.625543
85624,Patagonia,AZ,31.504439,-110.70794,-7,0,31.504439
85932,Nutrioso,AZ,33.927014,-109.22149,-7,0,33.927014
86535,Dennehotso,AZ,36.798893,-109.86488,-7,0,36.798893
85248,Chandler,AZ,33.239097,-111.86355,-7,0,33.239097
85264,Fort Mcdowell,AZ,33.617643,-111.67554,-7,0,33.617643
85250,Scottsdale,AZ,33.521433,-111.90944,-7,0,33.521433
85637,Sonoita,AZ,31.733433,-110.66869,-7,0,31.733433
85719,Tucson,AZ,32.240625,-110.94791,-7,0,32.240625
86030,Hotevilla,AZ,36.115339,-110.61562,-7,0,36.115339
85301,Glendale,AZ,33.534128,-112.1767,-7,0,33.534128
85313,Glendale,AZ,33.276539,-112.18717,-7,0,33.276539
86335,Rimrock,AZ,34.653475,-111.75103,-7,0,34.653475
85062,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85269,Fountain Hills,AZ,33.276539,-112.18717,-7,0,33.276539
85712,Tucson,AZ,32.249551,-110.8878,-7,0,32.249551
85273,Superior,AZ,33.28591,-111.11015,-7,0,33.28591
85029,Phoenix,AZ,33.598841,-112.12023,-7,0,33.598841
85039,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85750,Tucson,AZ,32.292078,-110.84384,-7,0,32.292078
86339,Sedona,AZ,34.907188,-111.728572,-7,0,34.907188
85938,Springerville,AZ,34.094597,-109.22291,-7,0,34.094597
85073,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85722,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85212,Mesa,AZ,33.35035,-111.64535,-7,0,33.35035
86022,Fredonia,AZ,36.844685,-112.47107,-7,0,36.844685
85638,Tombstone,AZ,31.714525,-110.06684,-7,0,31.714525
85003,Phoenix,AZ,33.451143,-112.07838,-7,0,33.451143
85344,Parker,AZ,34.100704,-114.30462,-7,0,34.100704
85205,Mesa,AZ,33.426932,-111.71686,-7,0,33.426932
85377,Carefree,AZ,33.276539,-112.18717,-7,0,33.276539
86036,Marble Canyon,AZ,36.618595,-111.85444,-7,0,36.618595
86514,Teec Nos Pos,AZ,36.88092,-109.33634,-7,0,36.88092
85123,Mesa,AZ,33.427135,-111.758483,-7,0,33.427135
85008,Phoenix,AZ,33.466393,-112.0008,-7,0,33.466393
85714,Tucson,AZ,32.170277,-110.95525,-7,0,32.170277
84536,Monument Valley,AZ,36.990184,-110.2123,-7,0,36.990184
85530,Bylas,AZ,33.053797,-110.22921,-7,0,33.053797
85920,Alpine,AZ,33.836157,-109.19785,-7,0,33.836157
85079,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
48110,Azalia,MI,42.008164,-83.664277,-5,1,42.008164
85352,Tacna,AZ,32.693448,-113.976313,-7,0,32.693448
85522,Thatcher,AZ,32.850901,-109.767893,-7,0,32.850901
85335,El Mirage,AZ,33.596823,-112.32364,-7,0,33.596823
85502,Globe,AZ,33.421919,-110.81268,-7,0,33.421919
85080,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85648,Rio Rico,AZ,31.488579,-110.98926,-7,0,31.488579
85734,Tucson,AZ,32.065082,-110.935337,-7,0,32.065082
85218,Gold Camp,AZ,33.349996,-111.418233,-7,0,33.349996
85048,Phoenix,AZ,33.302098,-112.02477,-7,0,33.302098
85240,Chandler,AZ,33.222982,-111.858805,-7,0,33.222982
85326,Buckeye,AZ,33.354418,-112.56941,-7,0,33.354418
85317,Carefree,AZ,33.820609,-111.886707,-7,0,33.820609
85010,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85345,Peoria,AZ,33.573602,-112.23984,-7,0,33.573602
76098,Azle,TX,32.895716,-97.563622,-6,1,32.895716
85305,Glendale,AZ,33.529373,-112.25225,-7,0,33.529373
85204,Mesa,AZ,33.400127,-111.78594,-7,0,33.400127
85355,Waddell,AZ,33.569705,-112.44792,-7,0,33.569705
85741,Tucson,AZ,32.338126,-111.04259,-7,0,32.338126
86342,Lake Montezuma,AZ,34.641736,-111.787154,-7,0,34.641736
86412,Hualapai,AZ,35.397172,-113.843241,-7,0,35.397172
85395,Peoria,AZ,33.580089,-112.246311,-7,0,33.580089
85014,Phoenix,AZ,33.511325,-112.05711,-7,0,33.511325
85060,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85747,Tucson,AZ,32.109302,-110.77573,-7,0,32.109302
85234,Gilbert,AZ,33.36344,-111.75093,-7,0,33.36344
85304,Glendale,AZ,33.594069,-112.17531,-7,0,33.594069
85615,Hereford,AZ,31.429017,-110.23013,-7,0,31.429017
85287,Tempe,AZ,33.428511,-111.934865,-7,0,33.428511
85544,Pine,AZ,34.394226,-111.46865,-7,0,34.394226
85650,Sierra Vista,AZ,31.492003,-110.24699,-7,0,31.492003
86044,Tonalea,AZ,36.507554,-110.86804,-7,0,36.507554
85715,Tucson,AZ,32.247175,-110.82864,-7,0,32.247175
86544,Red Valley,AZ,36.59559,-109.11872,-7,0,36.59559
85704,Tucson,AZ,32.32764,-110.98801,-7,0,32.32764
85606,Cochise,AZ,32.054694,-109.81342,-7,0,32.054694
86305,Prescott,AZ,34.70062,-112.63753,-7,0,34.70062
86018,Parks,AZ,35.197566,-111.93253,-7,0,35.197566
85021,Phoenix,AZ,33.559437,-112.09281,-7,0,33.559437
85236,Higley,AZ,33.305783,-111.70835,-7,0,33.305783
85310,Glendale,AZ,33.701173,-112.17614,-7,0,33.701173
86052,North Rim,AZ,36.499283,-112.23039,-7,0,36.499283
85383,Peoria,AZ,33.700837,-112.244827,-7,0,33.700837
85318,Glendale,AZ,33.276539,-112.18717,-7,0,33.276539
85742,Tucson,AZ,32.385588,-111.05582,-7,0,32.385588
85072,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85323,Avondale,AZ,33.454441,-112.32401,-7,0,33.454441
85349,San Luis,AZ,32.494054,-114.77866,-7,0,32.494054
85254,Scottsdale,AZ,33.617504,-111.95416,-7,0,33.617504
86053,Kaibito,AZ,36.556111,-111.10495,-7,0,36.556111
86314,Prescott Valley,AZ,34.621743,-112.32176,-7,0,34.621743
86435,Supai,AZ,36.198652,-112.51013,-7,0,36.198652
85215,Mesa,AZ,33.479868,-111.6935,-7,0,33.479868
85089,New River,AZ,33.909138,-112.140771,-7,0,33.909138
86444,Meadview,AZ,35.950442,-114.07783,-7,0,35.950442
86040,Page,AZ,36.726377,-111.4284,-7,0,36.726377
85015,Phoenix,AZ,33.50689,-112.10262,-7,0,33.50689
85259,Scottsdale,AZ,33.596995,-111.82628,-7,0,33.596995
85607,Douglas,AZ,31.382775,-109.55035,-7,0,31.382775
86021,Colorado City,AZ,36.985868,-112.9791,-7,0,36.985868
85359,Quartzsite,AZ,33.66688,-114.239557,-7,0,33.66688
85387,Surprise,AZ,33.276539,-112.18717,-7,0,33.276539
85605,Bowie,AZ,32.314118,-109.46196,-7,0,32.314118
86431,Chloride,AZ,35.413284,-114.21626,-7,0,35.413284
85018,Phoenix,AZ,33.498076,-111.98603,-7,0,33.498076
85028,Phoenix,AZ,33.585037,-112.00815,-7,0,33.585037
86325,Cornville,AZ,34.718836,-111.90168,-7,0,34.718836
85232,Florence,AZ,32.961615,-111.31629,-7,0,32.961615
85911,Cibecue,AZ,34.102913,-110.55639,-7,0,34.102913
85621,Nogales,AZ,31.37737,-110.9264,-7,0,31.37737
85053,Phoenix,AZ,33.629911,-112.13122,-7,0,33.629911
85737,Tucson,AZ,32.417144,-110.96354,-7,0,32.417144
86320,Ash Fork,AZ,35.178163,-112.56465,-7,0,35.178163
85271,Scottsdale,AZ,33.276539,-112.18717,-7,0,33.276539
85708,Tucson,AZ,32.196846,-110.89189,-7,0,32.196846
85220,Apache Junction,AZ,33.416083,-111.5762,-7,0,33.416083
85644,Willcox,AZ,32.30069,-109.878211,-7,0,32.30069
85754,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85257,Scottsdale,AZ,33.467347,-111.91741,-7,0,33.467347
85618,Mammoth,AZ,32.70874,-110.63925,-7,0,32.70874
85278,Apache Junction,AZ,32.983653,-111.326045,-7,0,32.983653
85286,New River,AZ,33.850506,-112.05927,-7,0,33.850506
85325,Bouse,AZ,33.946064,-113.9537,-7,0,33.946064
85026,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85703,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85746,Tucson,AZ,32.126223,-111.04599,-7,0,32.126223
85608,Douglas,AZ,31.569536,-109.23407,-7,0,31.569536
85309,Luke AFB,AZ,33.533985,-112.37688,-7,0,33.533985