,ZIP Code,Population,Price,cities,Latitude,Longitude
0,85003,9369,439155,Phoenix,33.451143,-112.07838
1,85004,4965,323521,Phoenix,33.451093,-112.07057
2,85006,25742,287468,Phoenix,33.466392,-112.04875
3,85007,14040,289808,Phoenix,33.449995,-112.09024
4,85008,56145,244292,Phoenix,33.466393,-112.0008
5,85009,52520,169682,Phoenix,33.45635,-112.12378
6,85012,6390,507832,Phoenix,33.505251,-112.0703
7,85013,19314,344588,Phoenix,33.50711,-112.08483
8,85014,24782,311910,Phoenix,33.511325,-112.05711
9,85015,37644,227522,Phoenix,33.50689,-112.10262
10,85016,33896,358155,Phoenix,33.503742,-112.03235
11,85017,38872,184766,Phoenix,33.514092,-112.12285
12,85018,36065,577671,Phoenix,33.498076,-111.98603
13,85019,25042,193564,Phoenix,33.511992,-112.1417
14,85020,32850,276980,Phoenix,33.563663,-112.05519
15,85021,37743,298364,Phoenix,33.559437,-112.09281
16,85022,46395,303365,Phoenix,33.630497,-112.0521
17,85023,31274,275752,Phoenix,33.638271,-112.09341
18,85024,22898,316152,Phoenix,33.675564,-112.04717
19,85027,37140,250155,Phoenix,33.698731,-112.11429
20,85028,19157,423219,Phoenix,33.585037,-112.00815
21,85029,43233,222900,Phoenix,33.598841,-112.12023
22,85031,30493,186237,Phoenix,33.493496,-112.17108
23,85032,65485,292044,Phoenix,33.62414,-112.00416
24,85033,53037,194637,Phoenix,33.496091,-112.21405
25,85034,5582,182158,Phoenix,33.437772,-112.0281
26,85035,47486,194820,Phoenix,33.472492,-112.1875
27,85037,44771,215429,Phoenix,33.493006,-112.25539
28,85040,29352,190646,Phoenix,33.393323,-112.02857
29,85041,54947,229684,Phoenix,33.386995,-112.10076
30,85042,40962,243565,Phoenix,33.381234,-112.027663
31,85043,30560,224360,Phoenix,33.435405,-112.20009
32,85044,37993,322829,Phoenix,33.333591,-111.99246
33,85045,7238,422175,Phoenix,33.29974,-112.09812
34,85048,33449,384868,Phoenix,33.302098,-112.02477
35,85050,25736,380496,Phoenix,33.683603,-111.99271
36,85051,40375,210959,Phoenix,33.559783,-112.13361
37,85053,28480,244956,Phoenix,33.629911,-112.13122
38,85054,5384,436419,Phoenix,33.689558,-111.96463
39,85085,17517,410482,Phoenix,33.77776,-112.07945
40,85086,40495,388039,Phoenix,33.831866,-112.06339
41,85087,7708,401421,Phoenix,33.921493,-112.09992
42,85224,42796,298355,Chandler,33.328951,-111.8735
43,85225,69810,290770,Chandler,33.316349,-111.83064
44,85226,37376,337926,Chandler,33.312208,-111.93177
45,85248,29821,387457,Chandler,33.239097,-111.86355
46,85249,36908,436176,Chandler,33.237229,-111.8004
47,85286,38930,407031,Chandler,33.850506,-112.05927
48,85201,46092,232568,Mesa,33.432177,-111.84701
49,85202,37275,260568,Mesa,33.381097,-111.8756
50,85203,35541,285664,Mesa,33.437493,-111.806
51,85204,60885,248926,Mesa,33.400127,-111.78594
52,85205,39858,265751,Mesa,33.426932,-111.71686
53,85206,33154,258089,Mesa,33.400306,-111.72452
54,85207,44744,363456,Mesa,33.436767,-111.64338
55,85208,34762,247682,Mesa,33.393967,-111.64302
56,85210,36464,242381,Mesa,33.391233,-111.84129
57,85212,24492,360416,Mesa,33.35035,-111.64535
58,85213,31797,359578,Mesa,33.434192,-111.76892
59,85215,15963,326183,Mesa,33.479868,-111.6935
60,85250,15906,400640,Scottsdale,33.521433,-111.90944
61,85251,34390,375171,Scottsdale,33.494152,-111.92079
62,85253,17047,1650254,Scottsdale,33.544596,-111.95645
63,85254,45801,541963,Scottsdale,33.617504,-111.95416
64,85255,37270,765894,Scottsdale,33.697268,-111.88321
65,85257,26755,352380,Scottsdale,33.467347,-111.91741
66,85258,23342,545491,Scottsdale,33.566635,-111.89337
67,85259,21422,716579,Scottsdale,33.596995,-111.82628
68,85260,36056,477677,Scottsdale,33.606004,-111.88699
69,85262,11275,940022,Scottsdale,33.798581,-111.8708
70,85263,2111,557854,Scottsdale,33.722594,-111.67915
71,85264,1249,859155,Scottsdale,33.617643,-111.67554
72,85266,11406,784550,Scottsdale,33.276539,-112.18717
73,85268,22684,443222,Scottsdale,33.604811,-111.72852
74,85301,60161,181134,Glendale,33.534128,-112.1767
75,85302,36909,245639,Glendale,33.568143,-112.17699
76,85303,30310,230699,Glendale,33.528166,-112.22189
77,85304,25883,254918,Glendale,33.594069,-112.17531
78,85305,10822,292717,Glendale,33.529373,-112.25225
79,85306,24191,259164,Glendale,33.624546,-112.1767
80,85307,9230,239201,Glendale,33.529314,-112.30607
81,85308,63876,314033,Glendale,33.657722,-112.17825
82,85310,19007,348221,Glendale,33.701173,-112.17614
83,85233,37564,339136,Gilbert,33.348593,-111.80833
84,85234,50014,356107,Gilbert,33.36344,-111.75093
85,85296,36799,346939,Gilbert,33.319722,-111.76078
86,85297,26979,376191,Gilbert,33.272322,-111.714171
87,85281,57348,286432,Tempe,33.426885,-111.92733
88,85282,48671,313303,Tempe,33.394067,-111.92873
89,85283,44813,307078,Tempe,33.365951,-111.93155
90,85284,16479,473621,Tempe,33.338333,-111.92962
91,85345,56208,234689,Peoria,33.573602,-112.23984
92,85381,24249,298914,Peoria,33.60864,-112.22791
93,85382,40454,301875,Peoria,33.689869,-112.24838
94,85383,37182,415188,Peoria,33.700837,-112.244827